Theme,Complete Phrase,Puzzle,About phrase
Aviation - 1,Commercial airplanes are painted white to reflect heat and lower cooling costs.,_#_____#__ __@___@__ @__ ____#__ _____ t_ __f_@_@ _ea_ ___ _#__r ______g c_#_s.,Fun Facts
Aviation - 2,The Wright brothers made their historic first powered flight back in nineteen three.,_@_ ______ _#______ ____ t____ _____@__ ___#_ _____#_ _@____ _#__ _@ __@___e_ _#___.,Fun Facts
Aviation - 3,Commercial aircraft cabins are pressurized to simulate an altitude of eight thousand feet.,_#________ ________ __@___ ___ _#_____#__@ t_ ___#__#_ a_ ________ _@ _i___ @___@___ f___.,Fun Facts
Aviation - 4,Pilots and copilots strictly eat different meals to avoid potential food poisoning.,___#__ _#_ ____#___ ________ e__ __#______ ____@ t_ ____@ ____@____ _@__ ___#_n_@_.,Fun Facts
Aviation - 5,Modern jet engines are regularly tested to withstand severe bird strike impacts.,_#__#_ ___ _______ a__ _#_@__@_@ __#___ _o __@__@___ _e____ _i__ __#___ _______.,Fun Facts
Aviation - 6,Airplane tires are inflated with dry nitrogen gas to prevent sudden rim fires.,__#__#__ _@___ ___ __@_____ _@__ d__ _i_@____ _#_ t_ ___#___ ___#__ __@ _____.,Fun Facts
Aviation - 7,The world's busiest airport by passenger traffic is located in Atlanta Georgia.,___ ____@'s ___#___ __r____ @_ ____e__#_ _#___@_ i_ l___#__ __ _#_____ ___@_@_.,Fun Facts
Aviation - 8,Lightning strikes individual commercial jets roughly once per year on average.,_#_______ __r_#__ _______#__ _@_______@ ___@ ___g_#_ o___ _@_ y___ @_ _____#_.,Fun Facts
Aviation - 9,Contrails are artificial cloud trails formed by hot engine exhaust in cold air.,_________ ___ _#______#_ _____ @____@ @__@__ b_ _o_ __#___ _#_@___ i_ _#__ a__.,Fun Facts
Aviation - 10,Qantas operates the world's oldest continuously running commercial airline service.,__#___ @__#____ __@ w____'s o_____ _____#__#___ ____@_@ ______@___ ______e __#____.,Fun Facts
Aviation - 11,Airplanes travel faster at high altitudes due to thinner air offering less drag.,@________ __#_@_ _@____ __ ____ _#_@_____ ___ __ __#_n__ _#_ __#_r___ ___@ d___.,Fun Facts
Aviation - 12,The Boeing 747 jumbo jet first flew commercially in nineteen seventy.,_#_ ___#__ 747 ___@_ _#_ _@_@_ f___ _#__#_______ _n _____e_@ s_@____.,Fun Facts
Aviation - 13,Stale airplane cabin air is continuously refreshed through medical grade filters.,___#_ _@____#_ _____ __@ i_ _#______@___ __@___#__ ____#__ _@____l g____ _______.,Fun Facts
Aviation - 14,Aviation fuel expands in high temperatures so tanks are filled right before takeoff.,___#____ ____ __#_@__ __ ____ _#______@___ _@ _#_@_ a__ f_____ _i__t _e@___ __#____.,Fun Facts
Aviation - 15,Autoland systems allow modern passenger jets to touch down safely in heavy fog.,_____@__ ____#__ _#___ __#__@ __@____#_ _#__ __ ____h d___ ___e_@ i_ @_a__ __g.,Fun Facts
Aviation - 16,99% of the airplanes are manufactured by Boeing and Airbus.,99% __ t__ _#__@__#_ a__ @__#__c@___@ _y @_____ _#_ _i_#__.,Fun Facts
Aviation - 17,Airplane windows are oval to distribute pressure evenly and prevent structural stress.,____#_@_ _______ ___ ____ __ _#____@_@_ pre_____ _@_#__ a__ _____#_ ______@___ _#____.,Fun Facts
Aviation - 18,The black box flight recorder is actually painted bright orange for easy recovery.,___ _____ ___ __#___ __@_____ i_ _ct_#__y _#___#_ __@g@_ o_____ _#_ _@__ @_______.,Fun Facts
Aviation - 19,Concorde was a famous supersonic airliner that flew faster than the speed of sound.,_#______ @__ _ ______ ____#___#_ _@____@_ _#__ ____ ____@_ t___ ___ _#_@_ o_ ____d.,Fun Facts
Aviation - 20,Flight attendants undergo rigorous training for extreme emergency sea landings.,_#____ _______#__ _______ ___#_o__ @__@__n_ _@_ _#____@ ___#_____ s__ _______@.,Fun Facts
Aviation - 21,Jet lag occurs when rapid time zone changes disrupt your natural body clock.,___ ___ ______ @___ _@_#_ ____ __#_ c______ ___@__@ y___ __#__#_ _o__ _#_@_.,Fun Facts
Aviation - 22,Airplanes can glide safely for dozens of miles even if all engines fail completely.,_________ __@ __@_@ ______ ___ __#___ o_ ___#_ _@__ i_ _#_ _#_____ f___ c___#____@.,Fun Facts
Aviation - 23,The winglets on modern plane wings reduce aerodynamic drag and save jet fuel.,___ ______ts o_ @_d___ @____ _i__@ ____#_ _e____#____ __#_ _#_ __@_ _#_ @___.,Fun Facts
Aviation - 24,Aviation accounts for roughly two percent of total global carbon emissions.,_#______ _#______ ___ _@__@__ ___ __#_@_t o_ _#___ ___#__ @___@_ _m__s____.,Fun Facts
Aviation - 25,The tiny hole at the bottom of plane windows helps regulate cabin window pressure.,___ _@__ __#_ __ ___ b_____ o_ __@__ _i_#__@ h____ r____#__ @____ _#__#_ __e____@.,Fun Facts
Aviation - 26,Private jets burn significantly more fuel per passenger than commercial flights.,____@_@ __#_ ____ _________#__y __@_ f___ __r __#__#_@_ __#_ c_________ @______.,Fun Facts
Aviation - 27,Helicopter rotor blades generate dynamic lift by rotating rapidly through the air.,_____#____ _#___ _#_@__ ________ __n_#__ _i__ _@ __#_____ r______ _____@_ __@ a@_.,Fun Facts
Aviation - 28,The largest passenger plane in the world is the massive double decker Airbus A380.,_#_ ___@___ __@______ ___@_ __ __@ w____ i_ @__ _#_____ ___#_e ____#_ __#___ A380.,Fun Facts
Aviation - 29,Pilots must keep detailed flight logs tracking every single minute in the air.,____#_ @___ ____ @__#___@ ______ ___@ __#__#__ _____ _____@ ____#_ i_ t__ a__.,Fun Facts
