Level_Number,Phrase,Puzzle,Picture 1,Puzzle 1,Picture 2,Puzzle 2,Picture 3,Puzzle 3,Picture 4,Puzzle 4,Picture 5,Puzzle 5
1,Elephants cannot jump.,_________ ______ ____.,JEANS,_____,POUCH,_____,MALLET,______,,,,
2,A big black bug bit a big bear.,_ ___ _____ ___ ___ _ ___ ____.,BRICK,_____,GLUE,____,CAT,___,BELT,____,,
3,Humpty Dumpty sat on a wall.,______ ______ ___ __ _ ____.,PYTHON,______,WALNUT,______,SHADOW,______,MONDAY,______,,
4,Four fine fresh fish for you.,____ ____ _____ ____ ___ ___.,HORSE,_____,HONEY,_____,SHOE,____,IRON,____,FUR,___
5,Goldfish can see ultraviolet light.,________ ___ ___ ___________ _____.,GUITAR,______,VIOLIN,______,OSTRICH,_______,FOLDER,______,,
6,Six slippery snails slid slowly.,___ ________ ______ ____ ______.,LEOPARD,_______,WINDOW,______,DAISY,_____,AXLE,____,,
7,Little Miss Muffet sat on a tuffet.,______ ____ ______ ___ __ _ ______.,FOUNTAIN,________,SALMON,______,MUFFIN,______,FLUTE,_____,STONE,_____
8,Lesser leather never weathered.,______ _______ _____ _________.,LANTERN,_______,SWEATER,_______,NEEDLE,______,RAVEN,_____,WHALE,_____
9,Sharks are older than trees.,______ ___ _____ ____ _____.,HORNET,______,HANDLE,______,KETTLE,______,STORK,_____,,
10,Fuzzy Wuzzy was a bear.,_____ _____ ___ _ ____.,ZEBRAS,______,SUBWAY,______,FERRY,_____,WAFER,_____,,
