Level_Number,Phrase,Puzzle,Picture 1,Puzzle 1,Picture 2,Puzzle 2,Picture 3,Puzzle 3,Picture 4,Puzzle 4,Picture 5,Puzzle 5,Phrase Validation,Picture 1 Validation,Picture 2 Validation,Picture 3 Validation,Picture 4 Validation,Picture 5 Validation,Lengths (With Spaces),Lengths (Without Spaces),Length Status,Duplication Check
1,Elephants cannot jump.,_________ ______ ____.,JEANS,_____,POUCH,_____,MALLET,______,,,,,Pass,Picture 1: Image 'JEANS.png' not found in Bonus Puzzle images folder.,Pass,Pass,,,"Phrase=22, Word=9, Pic1=5, Pic2=5, Pic3=6","Phrase=20, Word=9, Pic1=5, Pic2=5, Pic3=6",Pass,Pass
2,A big black bug bit a big bear.,_ ___ _____ ___ ___ _ ___ ____.,BRICK,_____,GLUE,____,CAT,___,BELT,____,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=31, Word=5, Pic1=5, Pic2=4, Pic3=3, Pic4=4","Phrase=24, Word=5, Pic1=5, Pic2=4, Pic3=3, Pic4=4",Pass,Pass
3,Humpty Dumpty sat on a wall.,______ ______ ___ __ _ ____.,PYTHON,______,WALNUT,______,SHADOW,______,MONDAY,______,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=28, Word=6, Pic1=6, Pic2=6, Pic3=6, Pic4=6","Phrase=23, Word=6, Pic1=6, Pic2=6, Pic3=6, Pic4=6",Pass,Pass
4,Four fine fresh fish for you.,____ ____ _____ ____ ___ ___.,HORSE,_____,HONEY,_____,SHOE,____,IRON,____,FUR,___,Pass,Pass,Pass,Pass,Pass,Pass,"Phrase=29, Word=5, Pic1=5, Pic2=5, Pic3=4, Pic4=4, Pic5=3","Phrase=24, Word=5, Pic1=5, Pic2=5, Pic3=4, Pic4=4, Pic5=3",Pass,Pass
5,Goldfish can see ultraviolet light.,________ ___ ___ ___________ _____.,GUITAR,______,VIOLIN,______,OSTRICH,_______,FOLDER,______,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=35, Word=11, Pic1=6, Pic2=6, Pic3=7, Pic4=6","Phrase=31, Word=11, Pic1=6, Pic2=6, Pic3=7, Pic4=6",Pass,Pass
6,Six slippery snails slid slowly.,___ ________ ______ ____ ______.,LEOPARD,_______,WINDOW,______,DAISY,_____,AXLE,____,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=32, Word=8, Pic1=7, Pic2=6, Pic3=5, Pic4=4","Phrase=28, Word=8, Pic1=7, Pic2=6, Pic3=5, Pic4=4",Pass,Pass
7,Little Miss Muffet sat on a tuffet.,______ ____ ______ ___ __ _ ______.,FOUNTAIN,________,SALMON,______,MUFFIN,______,FLUTE,_____,STONE,_____,Pass,Pass,Pass,Pass,Pass,Pass,"Phrase=35, Word=7, Pic1=8, Pic2=6, Pic3=6, Pic4=5, Pic5=5","Phrase=29, Word=7, Pic1=8, Pic2=6, Pic3=6, Pic4=5, Pic5=5",Pass,Pass
8,Lesser leather never weathered.,______ _______ _____ _________.,LANTERN,_______,SWEATER,_______,NEEDLE,______,RAVEN,_____,WHALE,_____,Pass,Pass,Pass,Pass,Pass,Pass,"Phrase=31, Word=10, Pic1=7, Pic2=7, Pic3=6, Pic4=5, Pic5=5","Phrase=28, Word=10, Pic1=7, Pic2=7, Pic3=6, Pic4=5, Pic5=5",Pass,Pass
9,Sharks are older than trees.,______ ___ _____ ____ _____.,HORNET,______,HANDLE,______,KETTLE,______,STORK,_____,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=28, Word=6, Pic1=6, Pic2=6, Pic3=6, Pic4=5","Phrase=24, Word=6, Pic1=6, Pic2=6, Pic3=6, Pic4=5",Pass,Pass
10,Fuzzy Wuzzy was a bear.,_____ _____ ___ _ ____.,ZEBRAS,______,SUBWAY,______,FERRY,_____,WAFER,_____,,,Pass,Pass,Pass,Pass,Pass,,"Phrase=23, Word=5, Pic1=6, Pic2=6, Pic3=5, Pic4=5","Phrase=19, Word=5, Pic1=6, Pic2=6, Pic3=5, Pic4=5",Pass,Pass
